number,count,condition
1,1,ctr
2,1,ctr
3,1,ctr
4,1,ctr
5,1,ctr
6,1,ctr
7,1,ctr
8,1,ctr
9,1,ctr
10,1,ctr
11,1,ctr
12,1,ctr
13,1,ctr
14,1,ctr
15,1,ctr
16,1,ctr
17,1,ctr
18,1,ctr
19,1,ctr
20,1,ctr
21,1,ctr
22,1,ctr
23,1,ctr
24,1,ctr
25,1,ctr
26,1,ctr
27,1,ctr
28,1,ctr
29,1,ctr
30,1,ctr
31,1,ctr
32,1,ctr
33,1,ctr
34,1,ctr
35,1,ctr
36,1,ctr
37,1,ctr
38,1,ctr
39,1,ctr
40,1,ctr
41,1,ctr
42,1,ctr
43,1,ctr
44,1,ctr
45,1,ctr
46,1,ctr
47,1,ctr
48,1,ctr
49,1,ctr
50,1,ctr
51,1,ctr
52,1,ctr
53,1,ctr
54,1,ctr
55,1,ctr
56,1,ctr
57,1,ctr
58,1,ctr
59,1,ctr
60,1,ctr
61,1,ctr
62,1,ctr
63,1,ctr
64,1,ctr
65,1,ctr
66,1,ctr
67,1,ctr
68,1,ctr
69,1,ctr
70,1,ctr
71,1,ctr
72,1,ctr
73,1,ctr
74,1,ctr
75,1,ctr
76,1,ctr
77,1,ctr
78,1,ctr
79,1,ctr
80,1,ctr
81,1,ctr
82,1,ctr
83,1,ctr
84,1,ctr
85,1,ctr
86,1,ctr
87,1,ctr
88,1,ctr
89,1,ctr
90,1,ctr
91,1,ctr
92,1,ctr
93,1,ctr
94,1,ctr
95,1,ctr
96,1,ctr
97,1,ctr
98,1,ctr
99,1,ctr
100,1,ctr
101,1,ctr
102,1,ctr
103,1,ctr
104,1,ctr
105,1,ctr
106,1,ctr
107,1,ctr
108,1,ctr
109,1,ctr
110,1,ctr
111,1,ctr
112,1,ctr
113,1,ctr
114,1,ctr
115,1,ctr
116,1,ctr
117,1,ctr
118,1,ctr
119,1,ctr
120,1,ctr
121,1,ctr
122,1,ctr
123,1,ctr
124,1,ctr
125,1,ctr
126,1,ctr
127,1,ctr
128,1,ctr
129,1,ctr
130,1,ctr
131,1,ctr
132,1,ctr
133,1,ctr
1,2,exp
2,2,exp
3,2,exp
4,2,exp
5,2,exp
6,2,exp
7,2,exp
8,2,exp
9,2,exp
10,2,exp
11,2,exp
12,2,exp
13,2,exp
14,2,exp
15,2,exp
16,2,exp
17,2,exp
18,2,exp
19,2,exp
20,2,exp
21,2,exp
22,2,exp
23,2,exp
24,2,exp
25,2,exp
26,2,exp
27,2,exp
28,2,exp
29,2,exp
30,2,exp
31,2,exp
32,2,exp
33,2,exp
34,2,exp
35,2,exp
36,2,exp
37,2,exp
38,2,exp
39,2,exp
40,2,exp
41,2,exp
42,2,exp
43,2,exp
44,2,exp
45,2,exp
46,2,exp
47,2,exp
48,2,exp
49,2,exp
50,2,exp
51,2,exp
52,2,exp
53,2,exp
54,2,exp
55,2,exp
56,2,exp
57,2,exp
58,2,exp
59,2,exp
60,2,exp
61,2,exp
62,2,exp
63,2,exp
64,2,exp
65,2,exp
66,2,exp
67,2,exp
68,2,exp
69,2,exp
70,2,exp
71,2,exp
72,2,exp
73,2,exp
74,2,exp
75,2,exp
76,2,exp
77,2,exp
78,2,exp
79,2,exp
80,2,exp
81,2,exp
82,2,exp
83,2,exp
84,2,exp
85,2,exp
86,2,exp
87,2,exp
88,2,exp
89,2,exp
90,2,exp
91,2,exp
92,2,exp
93,2,exp
94,2,exp
95,2,exp
96,2,exp
97,2,exp
98,2,exp
99,2,exp
100,2,exp
101,2,exp
102,2,exp
103,2,exp
104,2,exp
105,2,exp
106,2,exp
107,2,exp
108,2,exp
109,2,exp
110,2,exp
111,2,exp
112,2,exp
113,2,exp
114,2,exp
115,2,exp
116,2,exp
117,2,exp
118,2,exp
119,2,exp
120,2,exp
121,2,exp
122,2,exp
123,2,exp
124,2,exp
125,2,exp
126,2,exp
127,2,exp
128,2,exp
129,2,exp
130,2,exp
131,2,exp
132,2,exp
133,2,exp
134,2,exp
135,2,exp
136,2,exp
137,2,exp
138,2,exp
139,2,exp
140,2,exp
141,2,exp
142,2,exp